City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,folkestone,GB,51.08,1.18,62.01,100,100,20.0,light rain
115,okhotsk,RU,59.38,143.3,18.93,87,100,17.45,overcast clouds
116,tuban,ID,-6.9,112.06,77.18,83,89,3.78,moderate rain
117,saint-philippe,RE,-21.36,55.77,69.8,64,75,6.93,broken clouds
118,pivijay,CO,10.46,-74.62,84.0,94,75,4.7,light intensity drizzle
119,guarapari,BR,-20.67,-40.5,73.4,69,75,16.11,broken clouds
120,miri,MY,4.41,114.01,77.0,88,40,5.82,scattered clouds
121,zabaykalsk,RU,49.63,117.32,18.14,89,69,13.89,broken clouds
122,victor harbor,AU,-35.57,138.62,64.99,75,87,7.9,overcast clouds
123,alexander city,US,32.94,-85.95,70.0,43,1,12.75,clear sky
124,gizo,SB,-8.1,156.84,84.58,72,19,7.11,light rain
125,pacific grove,US,36.62,-121.92,73.4,40,1,4.7,clear sky
126,sungairaya,ID,0.7,108.9,79.11,82,59,2.48,light rain
127,amqui,CA,48.46,-67.43,44.6,70,90,23.04,overcast clouds
128,victoria,HK,22.29,114.16,73.0,72,90,5.99,light rain
129,paita,PE,-5.09,-81.11,65.86,79,74,17.13,broken clouds
130,santa maria,BR,-29.68,-53.81,71.6,49,40,8.05,scattered clouds
131,naze,JP,28.37,129.48,73.4,88,75,18.34,broken clouds
132,saskylakh,RU,71.92,114.08,-9.02,88,90,10.38,overcast clouds
133,la rioja,ES,42.25,-2.5,59.0,87,0,7.92,clear sky
134,northam,GB,51.03,-4.22,62.01,94,100,21.0,overcast clouds
135,hithadhoo,MV,-0.6,73.08,82.98,75,100,11.01,light rain
136,husavik,IS,66.04,-17.34,37.4,55,75,8.05,broken clouds
137,quelimane,MZ,-17.88,36.89,73.4,94,20,2.35,few clouds
138,longyearbyen,SJ,78.22,15.64,33.8,69,0,27.51,clear sky
139,hotarele,RO,44.17,26.37,42.8,93,0,3.36,clear sky
140,tripoli,LY,32.88,13.19,69.67,61,0,5.77,clear sky
141,prince rupert,CA,54.32,-130.32,55.4,87,90,18.34,overcast clouds
142,tiznit,MA,29.58,-9.5,70.59,28,0,2.95,clear sky
143,airai,TL,-8.93,125.41,63.01,74,96,2.37,overcast clouds
144,kaabong,UG,3.48,34.15,68.2,65,59,17.74,broken clouds
145,bonwapitse,BW,-23.08,26.7,67.12,65,57,14.74,moderate rain
146,thompson,CA,55.74,-97.86,24.8,85,90,10.29,overcast clouds
147,east london,ZA,-33.02,27.91,65.84,85,80,15.32,light rain
148,bethel,US,41.37,-73.41,52.0,93,90,11.41,moderate rain
149,cobija,BO,-11.03,-68.77,85.66,41,46,1.63,scattered clouds
150,nikki,BJ,9.94,3.21,75.94,35,19,1.68,few clouds
151,cherskiy,RU,68.75,161.3,2.48,93,100,6.17,overcast clouds
152,pulaski,US,34.77,-92.3,69.8,19,1,14.99,clear sky
153,banyo,CM,6.75,11.82,70.77,55,99,1.77,overcast clouds
154,atessa,IT,42.07,14.45,55.0,97,98,1.01,overcast clouds
155,rio gallegos,AR,-51.62,-69.22,60.8,44,75,9.17,broken clouds
156,sinnamary,GF,5.38,-52.95,81.43,78,99,10.85,overcast clouds
157,presidencia roque saenz pena,AR,-26.79,-60.44,73.31,48,0,5.7,clear sky
158,kruisfontein,ZA,-34.0,24.73,64.0,80,21,4.0,few clouds
159,polyarnyye zori,RU,67.37,32.5,37.89,94,99,9.57,overcast clouds
160,vila do maio,CV,15.13,-23.22,78.8,69,20,10.29,few clouds
161,uruana,BR,-15.5,-49.69,73.42,86,92,3.89,light rain
162,klaksvik,FO,62.23,-6.59,42.8,93,89,6.93,light rain
163,tual,ID,-5.67,132.75,83.62,70,100,14.85,overcast clouds
164,bambous virieux,MU,-20.34,57.76,71.6,68,75,10.29,broken clouds
165,sao filipe,CV,14.9,-24.5,79.29,76,64,7.99,broken clouds
166,tuatapere,NZ,-46.13,167.68,51.01,81,34,8.01,scattered clouds
167,narsaq,GL,60.92,-46.05,26.6,68,0,13.49,light shower snow
168,ambulu,ID,-8.35,113.61,74.93,88,96,2.57,overcast clouds
169,jumla,NP,29.27,82.18,45.23,58,0,5.7,clear sky
170,talara,PE,-4.58,-81.27,65.64,82,44,16.06,scattered clouds
171,sorland,NO,67.67,12.69,50.0,71,75,18.34,broken clouds
172,lorengau,PG,-2.02,147.27,85.21,69,9,6.33,clear sky
173,dalvik,IS,65.97,-18.53,37.4,55,75,8.05,broken clouds
174,oranjestad,AW,12.52,-70.03,84.2,83,40,9.17,scattered clouds
175,kutum,SD,14.2,24.67,74.53,27,43,17.25,scattered clouds
176,broken hill,AU,-31.95,141.43,68.0,56,0,3.36,clear sky
177,lujiang,CN,31.26,117.28,62.01,93,100,2.24,mist
178,chifeng,CN,42.27,118.96,29.35,80,22,11.3,few clouds
179,cabedelo,BR,-6.98,-34.83,78.8,83,20,9.17,few clouds
180,sabalgarh,IN,26.25,77.4,63.97,26,0,3.83,clear sky
181,saint-louis,SN,16.33,-15.0,87.8,35,0,2.24,clear sky
182,penzance,GB,50.12,-5.54,59.0,100,100,34.45,overcast clouds
183,imbituba,BR,-28.24,-48.67,68.0,56,40,9.17,scattered clouds
184,caborca,MX,30.58,-111.1,93.72,11,58,11.34,broken clouds
185,mahebourg,MU,-20.41,57.7,71.6,68,75,10.29,broken clouds
186,ilulissat,GL,69.22,-51.1,19.4,67,100,6.93,light snow
187,qaanaaq,GL,77.48,-69.36,1.62,74,0,7.85,clear sky
